PaymentPlan,Date,Duration,Occasion,Distance_Miles,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Casual,2019-07-01,00:09:44,Normal Thursday,1.29,45.51507401,-122.6870298,45.53080401,-122.6844227
Casual,2019-07-01,00:08:43,Normal Thursday,0.94,45.50971347,-122.6777159,45.5115407,-122.6648548
Casual,2019-07-01,00:10:58,Normal Thursday,1.42,45.50910258,-122.6735169,45.52536699,-122.6725459
Casual,2019-07-01,00:05:18,Normal Thursday,0.63,45.52440674,-122.6497686,45.52358836,-122.6619177
Subscriber,2019-07-01,00:04:45,Normal Thursday,0.52,45.5172002,-122.6506168,45.5173913,-122.6607569
Subscriber,2019-07-01,00:10:07,Normal Thursday,1.37,45.52487653,-122.6965141,45.51609691,-122.6790771
Casual,2019-07-01,00:09:13,Normal Thursday,0.99,45.52634601,-122.6941484,45.53083126,-122.6815957
Casual,2019-07-01,00:10:30,Normal Thursday,1.79,45.51844688,-122.651685,45.51609691,-122.6790771
Casual,2019-07-01,00:43:44,Normal Thursday,2.71,45.51782551,-122.6724963,45.51782551,-122.6724963
Subscriber,2019-07-01,00:01:46,Normal Thursday,0.01,45.511907,-122.6294804,45.511907,-122.6294804
Casual,2019-07-01,00:40:39,Normal Thursday,2.69,45.51782551,-122.6724963,45.51782551,-122.6724963
Casual,2019-07-01,00:08:50,Normal Thursday,1.06,45.5307017,-122.6762415,45.5202589,-122.6744682
Casual,2019-07-01,00:08:14,Normal Thursday,1.17,45.5214876,-122.6536298,45.52378902,-122.6747386
Subscriber,2019-07-01,00:19:35,Normal Thursday,2.84,45.511907,-122.6294804,45.52771962,-122.6603526
Casual,2019-07-01,00:07:36,Normal Thursday,1.14,45.511502,-122.653695,45.5139244,-122.6735944
Casual,2019-07-01,00:06:09,Normal Thursday,0.8,45.5223193,-122.6900794,45.5286366,-122.6820195
Subscriber,2019-07-01,00:10:38,Normal Thursday,1.52,45.52487653,-122.6965141,45.51782551,-122.6724963
Casual,2019-07-01,00:18:43,Normal Thursday,3.45,45.55522233,-122.6818612,45.51556831,-122.6738924
Casual,2019-07-01,00:08:34,Normal Thursday,1.14,45.53715171,-122.6881027,45.52871176,-122.674166
Subscriber,2019-07-01,00:19:19,Normal Thursday,3.18,45.55941042,-122.6685226,45.5178988,-122.6600522
Casual,2019-07-01,00:11:00,Normal Thursday,1.45,45.52976024,-122.6966429,45.52378902,-122.6747386
Casual,2019-07-01,00:11:30,Normal Thursday,1.26,45.52862062,-122.6905073,45.5209254,-122.6741073
Casual,2019-07-01,00:13:38,Normal Thursday,2.43,45.5482464,-122.6504109,45.5301343,-122.6803455
Casual,2019-07-01,00:29:35,Normal Thursday,2.71,45.50356665,-122.6395279,45.522793,-122.656616
Casual,2019-07-01,00:09:32,Normal Thursday,1.24,45.51222277,-122.6454261,45.522793,-122.656616
Casual,2019-07-01,00:28:55,Normal Thursday,2.72,45.50356665,-122.6395279,45.522793,-122.656616
Subscriber,2019-07-01,00:05:31,Normal Thursday,0.75,45.52634601,-122.6941484,45.522793,-122.684012
Subscriber,2019-07-01,00:04:20,Normal Thursday,0.44,45.513891,-122.6877658,45.5090834,-122.6840225
Casual,2019-07-01,00:03:25,Normal Thursday,0.49,45.51844688,-122.651685,45.5172294,-122.6597443
Subscriber,2019-07-01,00:04:10,Normal Thursday,0.43,45.5172394,-122.6627873,45.522975,-122.6637546
