NEWID,MEMBNO,AGE,SEX,EARNER,EARNTYPE,INC_HRSQ,INCOMEY,OCCUCODE,HISPANIC,MEMBRACE,PAYSTUB,SALARYX,WKSTATUS
03424283,1,69,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03424283,2,69,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424303,1,49,2,1,1,40,1,01,NA,1,1,35000,1
03424303,2,50,1,1,1,40,1,12,NA,1,1,93000,1
03424303,3,14,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03424313,2,62,2,1,2,20,1,09,2,1,1,8600,1
03424333,1,31,1,1,1,40,5,06,NA,1,2,NA,2
03424333,2,28,2,1,3,40,1,04,NA,1,2,NA,1
03424333,3,2,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424333,4,1,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424353,1,38,1,1,1,55,5,01,NA,1,NA,NA,2
03424353,2,33,2,1,1,40,1,03,NA,1,2,NA,1
03424353,3,11,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424353,4,6,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424353,5,1,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424383,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424393,1,49,1,1,3,40,1,03,NA,2,2,20000,1
03424393,2,40,2,1,1,40,2,03,NA,2,2,NA,1
03424393,3,14,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03424393,4,9,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03424393,5,7,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03424403,1,27,2,1,2,27,1,06,NA,1,2,20000,1
03424403,2,4,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424433,1,47,2,1,1,35,1,04,NA,1,2,NA,1
03424433,2,26,1,1,3,40,1,12,NA,1,1,1391,1
03424443,1,68,1,1,2,20,5,03,NA,1,2,60000,2
03424443,2,65,2,1,1,46,1,03,NA,1,2,NA,1
03424453,1,52,2,1,3,40,1,06,NA,1,2,6416,1
03424473,1,46,2,1,1,60,1,01,NA,2,2,NA,1
03424473,2,25,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03424503,1,67,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03424513,1,69,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424513,2,68,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03424523,1,67,2,1,3,40,1,12,NA,1,NA,NA,1
03424523,2,87,2,1,1,35,1,10,NA,1,NA,NA,1
03424543,1,61,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424543,2,59,1,1,1,40,1,03,NA,1,2,NA,1
03424553,1,54,2,1,2,15,3,10,6,1,2,8500,1
03424553,2,20,1,1,2,20,3,04,6,1,NA,NA,1
03424553,3,26,1,1,1,60,1,10,6,1,NA,NA,1
03424553,4,87,2,2,NA,NA,NA,,6,1,NA,NA,NA
03424553,5,66,1,1,3,50,1,05,1,1,NA,NA,1
03424563,1,25,1,2,NA,NA,NA,,2,1,NA,NA,NA
03424563,2,17,1,2,NA,NA,NA,,2,1,NA,NA,NA
03424563,3,47,2,2,NA,NA,NA,,1,1,NA,NA,NA
03424583,1,37,2,1,2,30,1,10,NA,1,1,13000,1
03424583,2,12,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424583,3,10,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424613,1,32,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424613,2,12,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424623,1,31,1,1,1,45,1,11,NA,4,2,NA,1
03424623,2,74,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03424633,1,52,2,1,4,20,1,04,NA,1,2,15000,1
03424633,2,51,1,1,1,60,1,01,NA,1,NA,NA,1
03424633,3,16,1,1,4,5,1,05,NA,1,2,575,1
03424633,4,13,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424673,1,54,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424673,2,55,1,1,1,40,1,03,NA,1,2,NA,1
03424673,3,17,1,1,3,38,1,05,NA,1,2,2500,1
03424673,4,15,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424673,5,26,1,1,2,20,1,05,NA,1,2,NA,1
03424693,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424703,1,62,2,1,4,15,1,10,NA,1,1,8000,1
03424703,2,72,1,1,3,50,1,12,NA,1,1,32000,1
03424713,1,27,2,1,1,50,1,12,NA,1,NA,NA,1
03424713,2,4,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424713,4,17,1,1,3,50,1,10,NA,1,NA,NA,1
03424753,1,44,1,1,1,40,1,01,NA,1,NA,NA,1
03424753,2,44,2,1,1,38,3,01,NA,1,NA,NA,1
03424753,3,18,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424813,1,41,2,1,1,40,4,10,NA,2,2,22000,1
03424813,2,48,1,1,3,35,1,12,NA,2,2,NA,1
03424813,3,17,2,1,4,30,1,10,NA,2,2,1000,1
03424843,1,39,1,1,1,44,2,12,NA,1,2,NA,1
03424843,2,43,2,1,4,25,4,10,NA,1,2,NA,1
03424843,3,17,1,1,4,18,1,05,NA,1,1,1221,1
03424843,4,14,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03424843,5,12,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424853,1,48,1,1,4,2,3,10,NA,1,2,80,1
03424873,1,63,1,1,2,30,5,10,NA,2,1,45000,2
